rep,dist_type,censor_level,method,mean_true,mean_est,sd_true,sd_est,ks,kl,q05_true,q10_true,q25_true,q50_true,q75_true,q90_true,q95_true,q05_est,q10_est,q25_est,q50_est,q75_est,q90_est,q95_est,param_choice
1,gamma,0.99,lod_half,8.259136974672654,10.739140585288828,4.317974348987457,1.3818919275983987,0.7446,22.381191704586527,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,10.603787301418954,10.603787301418954,10.603787301418954,10.603787301418954,10.603787301418954,10.603787301418954,10.603787301418954,
1,gamma,0.99,lod_sqrt2,8.259136974672654,15.087450772928488,4.317974348987457,0.9608849056551276,0.9248,22.61320785909276,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,14.996019814186287,14.996019814186287,14.996019814186287,14.996019814186287,14.996019814186287,14.996019814186287,14.996019814186287,
2,lognormal,0.2,parametric,1.0798876251726341,1.0723156004613814,0.9343706910655999,0.877777914220923,0.01,0.09065455717340792,0.25586218690467677,0.33960459196473736,0.5172501814157766,0.8204837541201087,1.332528131543381,2.048758971546026,2.7818169793946677,0.26385209260153475,0.33946940854121926,0.5101449075225601,0.8162501103392208,1.349246021234172,2.0668334539136226,2.701066871361267,lognormal_mle
2,lognormal,0.2,nonparametric,1.0798876251726341,1.019683923962274,0.9343706910655999,0.9639725752651757,0.17950000000000002,0.47384461401371564,0.25586218690467677,0.33960459196473736,0.5172501814157766,0.8204837541201087,1.332528131543381,2.048758971546026,2.7818169793946677,2.8462318680145887e-05,0.0008259041745374623,0.5171829351132733,0.8203225584743068,1.3321787987594735,2.048556995327818,2.7811785623663066,
2,lognormal,0.2,lod_half,1.0798876251726341,1.0611846264585751,0.9343706910655999,0.9492015561104014,0.1624,4.2580303291549955,0.25586218690467677,0.33960459196473736,0.5172501814157766,0.8204837541201087,1.332528131543381,2.048758971546026,2.7818169793946677,0.23019624270348857,0.23019624270348857,0.5172501814157766,0.8204837541201087,1.332528131543381,2.048758971546026,2.7818169793946677,
2,lognormal,0.2,lod_sqrt2,1.0798876251726341,1.080254707605598,0.9343706910655999,0.9331335302085942,0.1082,4.143535363082497,0.25586218690467677,0.33960459196473736,0.5172501814157766,0.8204837541201087,1.332528131543381,2.048758971546026,2.7818169793946677,0.32554664843860215,0.32554664843860215,0.5172501814157766,0.8204837541201087,1.332528131543381,2.048758971546026,2.7818169793946677,
2,lognormal,0.4,parametric,1.0798876251726341,1.079862887586549,0.9343706910655999,0.9045950039510621,0.017,0.10782234968988876,0.25586218690467677,0.33960459196473736,0.5172501814157766,0.8204837541201087,1.332528131543381,2.048758971546026,2.7818169793946677,0.2523659765531167,0.330134836010512,0.5162230446754847,0.8395456501792474,1.3560608124001163,2.075113922441387,2.6797881176650553,lognormal_mle
2,lognormal,0.4,nonparametric,1.0798876251726341,0.9185720047236082,0.9343706910655999,1.0341286081975898,0.34814999999999996,0.8967060048577814,0.25586218690467677,0.33960459196473736,0.5172501814157766,0.8204837541201087,1.332528131543381,2.048758971546026,2.7818169793946677,5.434236953186599e-06,2.7766005806235604e-05,0.0043377529079809615,0.8203043328981947,1.3319148293200438,2.048593751891286,2.781570150472793,
2,lognormal,0.4,lod_half,1.0798876251726341,1.0386442596952965,0.9343706910655999,0.9584281693209845,0.294,8.728184611733123,0.25586218690467677,0.33960459196473736,0.5172501814157766,0.8204837541201087,1.332528131543381,2.048758971546026,2.7818169793946677,0.346604793936998,0.346604793936998,0.346604793936998,0.8204837541201087,1.332528131543381,2.048758971546026,2.7818169793946677,
2,lognormal,0.4,lod_sqrt2,1.0798876251726341,1.096071622268191,0.9343706910655999,0.9187124118375495,0.2268,8.642697474521238,0.25586218690467677,0.33960459196473736,0.5172501814157766,0.8204837541201087,1.332528131543381,2.048758971546026,2.7818169793946677,0.49017320036923445,0.49017320036923445,0.49017320036923445,0.8204837541201087,1.332528131543381,2.048758971546026,2.7818169793946677,
